Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/access-control/authorize,2539,0,1700.0,1765.0468528353679,91.66577799999232,5783.800326000005,149.3052382827885,43.651196059752984,0.0,1700,1900,2000,2100,2200,2300,2900,3400,4200,5800,5800
POST,/oidc/login,264,0,110.0,258.72456379166795,39.0196870000068,1123.2863250000378,792.7575757575758,4.538761622597395,0.0,110,380,450,480,590,670,960,1100,1100,1100,1100
GET,/roles,257,0,1600.0,1530.9018980622573,94.04693800001951,4084.340321999946,67679.52529182879,4.41841567048307,0.0,1600,1800,1900,1900,2000,2200,2900,3200,4100,4100,4100
,Aggregated,3060,0,1700.0,1615.424520258825,39.0196870000068,5783.800326000005,5876.474509803921,52.608373352833446,0.0,1700,1900,2000,2000,2200,2300,2500,3300,4200,5800,5800
